strategy,params,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades,excess_return,score
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.05}",0.23534213936968412,-0.4254752928955544,0.30909119553366055,0.5,1.0,-78.81203518719546,-27.64412528929397
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.1}",-0.0828027393515496,-0.39388098408355093,-0.21928331944940832,0.5,1.0,-79.13018006591669,-28.384840947501417
Channel Breakout,"{""channel_length"": 100, ""trailing_pct"": 0.2}",0.7093524027424256,-0.30379955489558286,0.6175379387638802,0.4,1.0,-78.33802492382272,-24.033763358692525
Channel Breakout,"{""channel_length"": 20, ""trailing_pct"": 0.05}",1.1071024175996962,-0.4623159795528122,1.6501245854216353,0.6,1.0,-77.94027490896545,-31.979521252089523
Channel Breakout,"{""channel_length"": 20, ""trailing_pct"": 0.1}",2.0061457097306783,-0.4037098920836579,2.178201339525779,0.8,1.0,-77.04123161683447,-43.907210201375705
Channel Breakout,"{""channel_length"": 20, ""trailing_pct"": 0.2}",-0.02689214696411838,-0.5066138198246991,0.1542656737193959,0.5,1.0,-79.07426947352926,-26.24238156886477
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.05}",0.4993709874238358,-0.4476900242930932,0.5788161505373972,0.5,1.0,-78.54800633914131,-27.128737858609025
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.1}",0.6191413140707294,-0.39450197312708035,1.1528645184258626,0.6,1.0,-78.42823601249441,-33.74462174619553
Channel Breakout,"{""channel_length"": 50, ""trailing_pct"": 0.2}",0.701813252383085,-0.389804755516572,1.294994147250644,0.7,1.0,-78.34556407418205,-39.46014332894078
